specimen_id,collector_name,visual_description,instrument_notes
0,Dr. S. Nakamura,"metallic luster, elongated orthorhombic crystals",
1,A. Petrov,"yellow-brown, sub-adamantine, blocky",
2,A. Petrov,"opaque, grey-silver, bladed habit",
3,A. Petrov,"translucent, amber, cubic habit","high humidity during measurement, may affect readings"
4,Dr. L. Chen,"opaque, dark green, tabular habit",
5,Prof. M. Okonkwo,"opaque, grey-silver, bladed habit",
6,Dr. L. Chen,"steel grey, fibrous, prismatic",
7,Prof. M. Okonkwo,"steel grey, fibrous, prismatic",
8,A. Petrov,"translucent, pale blue, prismatic habit",
9,Dr. L. Chen,"transparent, violet fluorescence, cubic habit",
10,Prof. M. Okonkwo,"transparent, violet fluorescence, cubic habit",
11,Prof. M. Okonkwo,"opaque, grey-silver, bladed habit",
12,Dr. L. Chen,"transparent, violet fluorescence, cubic habit",
13,Prof. M. Okonkwo,"metallic luster, elongated orthorhombic crystals",
14,A. Petrov,"adamantine luster, small cubes, UV-reactive","high humidity during measurement, may affect readings"
15,Dr. L. Chen,"deep green, sub-vitreous, platy",
16,Dr. L. Chen,"adamantine luster, small cubes, UV-reactive",
17,Prof. M. Okonkwo,"opaque, dark green, tabular habit",
18,Dr. S. Nakamura,"metallic luster, elongated orthorhombic crystals","high humidity during measurement, may affect readings"
19,Dr. S. Nakamura,"opaque, deep red, cubic habit",
20,A. Petrov,"opaque, grey-silver, bladed habit",sample surface polished before reflectance measurement
21,Prof. M. Okonkwo,"metallic luster, red-black cubes",
22,Dr. S. Nakamura,"steel grey, fibrous, prismatic",
23,Dr. L. Chen,"steel grey, fibrous, prismatic",
24,A. Petrov,"steel grey, fibrous, prismatic",
25,A. Petrov,"translucent, pale blue, prismatic habit",
26,Dr. K. Vasquez,"dark crimson, sub-metallic, granular",
27,Dr. K. Vasquez,"opaque, dark green, tabular habit",
28,Dr. S. Nakamura,"blue-green tint, vitreous, columnar",sample surface polished before reflectance measurement
29,Dr. L. Chen,"metallic luster, red-black cubes",
30,A. Petrov,"resinous luster, warm-toned cubes",
31,Dr. K. Vasquez,"steel grey, fibrous, prismatic",
32,Prof. M. Okonkwo,"waxy luster, flat hexagonal plates",
33,Dr. S. Nakamura,"dark crimson, sub-metallic, granular",
34,Dr. L. Chen,"dark crimson, sub-metallic, granular",
35,Dr. L. Chen,"blue-green tint, vitreous, columnar",
36,Dr. K. Vasquez,"waxy luster, flat hexagonal plates",
37,Dr. S. Nakamura,"dark crimson, sub-metallic, granular",
38,Dr. K. Vasquez,"glassy luster, elongated hexagonal crystals",
39,A. Petrov,"transparent, violet fluorescence, cubic habit",
40,Dr. L. Chen,"clear with purple glow under UV, isometric",
41,Dr. L. Chen,"metallic luster, elongated orthorhombic crystals",
42,Prof. M. Okonkwo,"adamantine luster, small cubes, UV-reactive",
43,Dr. K. Vasquez,"translucent, pale blue, prismatic habit",
44,A. Petrov,"opaque, grey-silver, bladed habit",
45,Dr. S. Nakamura,"opaque, grey-silver, bladed habit",
46,A. Petrov,"adamantine luster, small cubes, UV-reactive",
47,Dr. K. Vasquez,"glassy luster, elongated hexagonal crystals",
48,A. Petrov,"yellow-brown, sub-adamantine, blocky",
49,Prof. M. Okonkwo,"opaque, dark green, tabular habit",
50,Dr. L. Chen,"deep green, sub-vitreous, platy",
51,Dr. S. Nakamura,"waxy luster, flat hexagonal plates",
52,Dr. S. Nakamura,"metallic luster, elongated orthorhombic crystals",
53,Dr. S. Nakamura,"dark crimson, sub-metallic, granular",
54,Dr. S. Nakamura,"dark crimson, sub-metallic, granular",
55,Prof. M. Okonkwo,"metallic luster, elongated orthorhombic crystals",
56,Dr. L. Chen,"opaque, deep red, cubic habit",
57,Prof. M. Okonkwo,"clear with purple glow under UV, isometric",
58,Dr. K. Vasquez,"opaque, dark green, tabular habit",
59,Prof. M. Okonkwo,"waxy luster, flat hexagonal plates",
60,A. Petrov,"resinous luster, warm-toned cubes",
61,A. Petrov,"resinous luster, warm-toned cubes",
62,Prof. M. Okonkwo,"transparent, violet fluorescence, cubic habit",
63,Dr. L. Chen,"metallic luster, elongated orthorhombic crystals",
64,A. Petrov,"metallic luster, red-black cubes",
65,A. Petrov,"dark crimson, sub-metallic, granular",
66,Prof. M. Okonkwo,"transparent, violet fluorescence, cubic habit",
67,Dr. S. Nakamura,"glassy luster, elongated hexagonal crystals",sample surface polished before reflectance measurement
68,Dr. K. Vasquez,"blue-green tint, vitreous, columnar",
69,A. Petrov,"opaque, deep red, cubic habit",
70,Dr. S. Nakamura,"translucent, pale blue, prismatic habit",
71,A. Petrov,"adamantine luster, small cubes, UV-reactive",
72,A. Petrov,"steel grey, fibrous, prismatic",
73,Dr. L. Chen,"deep green, sub-vitreous, platy",recalibrated conductivity probe before measurement
74,Dr. K. Vasquez,"opaque, dark green, tabular habit",
75,Prof. M. Okonkwo,"opaque, dark green, tabular habit",
76,Dr. K. Vasquez,"waxy luster, flat hexagonal plates",
77,Dr. L. Chen,"yellow-brown, sub-adamantine, blocky",
78,Dr. L. Chen,"adamantine luster, small cubes, UV-reactive",
79,Dr. K. Vasquez,"steel grey, fibrous, prismatic",
80,Dr. K. Vasquez,"yellow-brown, sub-adamantine, blocky",
81,A. Petrov,"metallic luster, red-black cubes",
82,Dr. K. Vasquez,"metallic luster, elongated orthorhombic crystals",
83,Dr. L. Chen,"translucent, pale blue, prismatic habit","high humidity during measurement, may affect readings"
84,Dr. K. Vasquez,"glassy luster, elongated hexagonal crystals",
85,Dr. K. Vasquez,"waxy luster, flat hexagonal plates",
86,Prof. M. Okonkwo,"yellow-brown, sub-adamantine, blocky",
87,Dr. L. Chen,"resinous luster, warm-toned cubes","high humidity during measurement, may affect readings"
88,Dr. L. Chen,"translucent, pale blue, prismatic habit",
89,Dr. S. Nakamura,"dark crimson, sub-metallic, granular",
90,Dr. L. Chen,"waxy luster, flat hexagonal plates",
91,Prof. M. Okonkwo,"opaque, deep red, cubic habit",
92,A. Petrov,"metallic luster, red-black cubes",
93,Dr. S. Nakamura,"metallic luster, red-black cubes",
94,Prof. M. Okonkwo,"opaque, dark green, tabular habit",
95,Dr. L. Chen,"translucent, amber, cubic habit",
96,Dr. K. Vasquez,"translucent, amber, cubic habit",
97,Prof. M. Okonkwo,"opaque, dark green, tabular habit",
98,Dr. K. Vasquez,"blue-green tint, vitreous, columnar",
99,Dr. L. Chen,"metallic luster, elongated orthorhombic crystals",
100,Dr. K. Vasquez,"opaque, grey-silver, bladed habit",
101,Dr. K. Vasquez,"yellow-brown, sub-adamantine, blocky",
102,Dr. L. Chen,"waxy luster, flat hexagonal plates",
103,Dr. S. Nakamura,"metallic luster, elongated orthorhombic crystals",
104,Dr. L. Chen,"steel grey, fibrous, prismatic",
105,Dr. K. Vasquez,"metallic luster, red-black cubes",
