Fe,Cr,Ni,Mo,V,hardness_HV,corrosion_resistance,cost_per_kg,notes
58.23,8.71,17.27,13.94,1.45,2013.56,102.0804,421.94,
56.82,15.33,16.08,2.52,9.17,-63.18,155.5189,402.4,
72.92,17.33,4.86,3.15,0.47,1226.34,71.3232,227.29,
82.82,12.35,0.61,3.38,1.74,981.15,16.635,188.2,"High Nickel content, verify with ICP-OES"
86.17,10.97,0.76,0.77,1.42,501.31,14.1998,156.04,
57.26,19.34,6.54,7.21,9.55,2132.38,71.6983,406.97,
87.03,6.86,3.82,1.14,1.69,416.49,24.9036,172.1,
76.14,15.94,5.93,0.88,1.42,708.11,70.3223,215.82,
70.36,7.22,6.06,13.65,2.73,1888.31,29.3822,349.02,
84.4,5.29,5.85,2.68,1.37,515.27,28.0155,205.81,
74.21,9.56,11.54,2.68,2.22,606.85,75.2906,265.39,
80.25,11.16,5.24,2.73,1.24,877.69,43.5925,210.9,"High Nickel content, verify with ICP-OES"
84.37,12.27,2.52,0.0,0.85,421.7,31.4851,161.28,
81.74,9.83,7.12,1.05,0.0,542.59,55.7328,185.49,
81.93,9.19,5.1,2.42,1.41,631.31,39.35,205.57,
82.33,9.81,6.1,0.51,0.0,505.91,53.6109,179.28,
79.75,14.45,3.36,0.5,1.04,554.35,47.6248,182.97,
80.12,14.13,3.88,1.47,0.43,719.63,45.8965,185.32,"High Nickel content, verify with ICP-OES"
87.24,9.53,0.54,0.65,1.52,467.39,14.7188,161.29,"High Vanadium content, verify with ICP-OES"
66.16,9.33,5.47,1.65,17.89,193.5,28.2327,434.52,
87.24,7.57,2.02,2.16,0.63,599.23,21.8477,166.65,
84.16,13.33,1.12,1.82,0.0,722.4,20.072,157.81,"High Vanadium content, verify with ICP-OES"
87.82,9.56,0.92,0.23,0.98,423.86,17.398,152.32,
76.27,17.71,4.34,1.41,0.83,787.39,65.4478,206.91,"High Vanadium content, verify with ICP-OES"
75.07,17.42,3.49,3.38,0.0,1239.73,59.8409,207.42,
77.5,11.89,7.84,2.38,0.54,758.57,65.6873,219.38,
84.97,9.34,3.43,1.46,0.25,618.58,35.9806,172.35,
66.11,18.23,2.31,11.08,2.25,3154.26,43.9824,316.73,"High Chromium content, verify with ICP-OES"
81.58,8.49,5.14,2.9,1.67,710.3,38.5102,212.08,
79.41,17.05,1.84,0.16,1.4,505.55,35.4753,172.34,
74.57,15.84,6.33,1.47,2.19,696.94,78.4461,225.37,
82.41,12.06,2.24,3.48,0.53,1018.35,28.9535,189.37,
76.27,10.88,7.96,3.23,1.62,897.56,64.3273,242.41,
85.8,10.3,0.49,2.81,0.53,798.12,16.2243,170.14,
72.43,4.83,2.12,16.51,3.26,1682.3,2.6539,355.0,
79.01,12.93,6.79,0.74,0.93,565.27,69.0202,198.29,
67.07,19.86,10.32,2.96,0.33,1294.27,139.5656,254.25,
86.44,6.98,5.25,0.3,0.65,365.68,31.6074,174.27,
81.74,12.98,1.11,3.43,1.86,983.87,25.3445,197.99,
68.48,2.3,2.53,18.08,8.11,1353.27,-40.1145,439.26,
78.3,11.27,5.13,3.36,0.71,1013.51,50.664,215.57,
73.92,0.68,11.06,12.87,1.77,517.45,5.6614,348.1,
77.7,10.21,7.88,2.55,0.99,694.79,61.0923,232.58,
72.73,9.25,15.26,0.03,2.49,227.98,103.2511,267.72,
56.32,15.76,4.35,10.88,12.34,2562.78,15.4166,458.86,
64.07,11.66,8.73,7.47,8.17,1266.58,52.9674,389.48,
78.66,15.91,2.98,0.88,0.0,684.89,52.7465,183.64,"High Molybdenum content, verify with ICP-OES"
68.94,16.35,2.18,0.8,11.69,863.39,31.5103,336.65,
79.02,15.63,2.31,0.62,1.65,586.8,39.5672,188.8,
89.71,8.77,1.2,0.33,0.28,399.71,16.9228,136.03,"High Molybdenum content, verify with ICP-OES"
88.17,7.5,0.0,2.43,1.83,615.35,10.7275,166.24,
