x,y
-5.000000,5.307359
-4.949749,4.556929
-4.899497,5.388492
-4.849246,5.433836
-4.798995,3.951714
-4.748744,4.252589
-4.698492,4.956133
-4.648241,4.733968
-4.597990,4.894109
-4.547739,4.496100
-4.497487,5.391229
-4.447236,5.377190
-4.396985,5.064957
-4.346734,5.645086
-4.296482,5.369591
-4.246231,4.764360
-4.195980,5.439289
-4.145729,4.838047
-4.095477,5.819887
-4.045226,5.418407
-3.994975,5.412128
-3.944724,5.222730
-3.894472,6.229533
-3.844221,5.591514
-3.793970,5.499631
-3.743719,5.576334
-3.693467,6.049887
-3.643216,5.989696
-3.592965,6.027733
-3.542714,6.041619
-3.492462,6.891685
-3.442211,5.601546
-3.391960,5.521260
-3.341709,5.331431
-3.291457,5.995196
-3.241206,6.188255
-3.190955,5.490834
-3.140704,5.039125
-3.090452,4.945676
-3.040201,5.569285
-2.989950,5.489170
-2.939698,5.250358
-2.889447,4.495227
-2.839196,4.781585
-2.788945,4.550123
-2.738693,4.416658
-2.688442,4.548394
-2.638191,4.020316
-2.587940,4.034991
-2.537688,3.508278
-2.487437,3.390758
-2.437186,3.327173
-2.386935,2.042814
-2.336683,2.366903
-2.286432,2.043366
-2.236181,1.708410
-2.185930,1.638092
-2.135678,2.270521
-2.085427,0.838157
-2.035176,1.504941
-1.984925,-0.068129
-1.934673,0.362203
-1.884422,0.372246
-1.834171,0.351117
-1.783920,0.187674
-1.733668,0.010679
-1.683417,-0.769585
-1.633166,-1.025902
-1.582915,-0.554670
-1.532663,-1.256871
-1.482412,-1.964512
-1.432161,-2.045969
-1.381910,-2.078297
-1.331658,-1.495276
-1.281407,-1.783489
-1.231156,-1.605460
-1.180905,-2.245153
-1.130653,-2.017654
-1.080402,-1.833924
-1.030151,-2.335493
-0.979899,-1.970824
-0.929648,-2.532927
-0.879397,-2.370751
-0.829146,-2.352087
-0.778894,-2.716173
-0.728643,-1.817223
-0.678392,-2.223744
-0.628141,-1.897535
-0.577889,-1.565149
-0.527638,-1.471659
-0.477387,-1.240020
-0.427136,-1.488908
-0.376884,-1.508266
-0.326633,-1.184306
-0.276382,-1.827749
-0.226131,-1.540038
-0.175879,-1.303993
-0.125628,-0.962211
-0.075377,-0.080470
-0.025126,-0.546749
0.025126,-0.094693
0.075377,0.933380
0.125628,0.294925
0.175879,1.029961
0.226131,0.380354
0.276382,0.927195
0.326633,0.733450
0.376884,1.212325
0.427136,1.969286
0.477387,0.845791
0.527638,2.079178
0.577889,2.124764
0.628141,1.843444
0.678392,1.542144
0.728643,2.415327
0.778894,2.217512
0.829146,2.690046
0.879397,2.664153
0.929648,3.521401
0.979899,2.655656
1.030151,2.305797
1.080402,2.936718
1.130653,2.973948
1.180905,3.547842
1.231156,3.277705
1.281407,3.018340
1.331658,3.539496
1.381910,2.169994
1.432161,2.390100
1.482412,2.181908
1.532663,2.375748
1.582915,1.798686
1.633166,2.712640
1.683417,2.184447
1.733668,1.453955
1.783920,1.569572
1.834171,2.117261
1.884422,2.258822
1.934673,2.714497
1.984925,3.047581
2.035176,1.671567
2.085427,0.843562
2.135678,0.147600
2.185930,1.225165
2.236181,0.565983
2.286432,0.650432
2.336683,0.443267
2.386935,0.576687
2.437186,1.085386
2.487437,0.544733
2.537688,0.310112
2.587940,-0.194902
2.638191,-0.569829
2.688442,-0.019200
2.738693,0.166061
2.788945,1.059113
2.839196,0.236253
2.889447,0.672731
2.939698,-0.043332
2.989950,-0.346135
3.040201,-0.180854
3.090452,0.010008
3.140704,1.523443
3.190955,0.150814
3.241206,1.098726
3.291457,0.361545
3.341709,1.427679
3.391960,1.318328
3.442211,1.226218
3.492462,1.477133
3.542714,1.376889
3.592965,2.147307
3.643216,1.929348
3.693467,1.788486
3.743719,2.017888
3.793970,3.009023
3.844221,3.987588
3.894472,3.561883
3.944724,3.713993
3.994975,4.214248
4.045226,5.027943
4.095477,4.792790
4.145729,4.789288
4.195980,5.861979
4.246231,5.838659
4.296482,6.707898
4.346734,6.346608
4.396985,5.955910
4.447236,6.194372
4.497487,8.010370
4.547739,8.348367
4.597990,7.692638
4.648241,7.880005
4.698492,9.084008
4.748744,8.073139
4.798995,8.443617
4.849246,9.467223
4.899497,9.192476
4.949749,9.620525
5.000000,9.763278
